PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Nationality,Occupation,FamilySize,IsAlone,Deck,Title,AgeGroup,TravelPurpose,Survived
74,1,"Singh, Mrs. Emma Mary",female,30.8,3,1,ZUD5JWO,180.46,,S,Ireland,Businessman,5,0,Unknown,Mrs,Adult,Immigration,1
75,3,"Singh, Dr. Ali John",male,36.8,0,2,U6LQQL6,19.94,,Q,Italy,Clerk,3,0,Unknown,Dr,Adult,Vacation,0
76,3,"Johnson, Dr. John James",male,27.8,0,0,GT37K79,6.69,,S,Finland,Nurse,1,1,Unknown,Dr,Adult,Business,0
77,3,"Martin, Miss. Ali Anna",female,36.5,2,1,H9CRTHK,35.9,,Q,England,Labourer,4,0,Unknown,Miss,Adult,Vacation,0
78,3,"Martin, Dr. Anna David",female,35.0,1,2,EUOS3KR,16.61,,S,Ireland,Businessman,4,0,Unknown,Dr,Adult,Vacation,1
79,2,"Khan, Mr. David Emma",male,53.7,0,0,UGLQX22,60.8,E131,Q,Lebanon,Doctor,1,1,E,Mr,Adult,Family Visit,1
80,3,"Khan, Mr. Anna Mary",male,30.2,2,1,RFA826Y,19.88,,S,Germany,Labourer,4,0,Unknown,Mr,Adult,Vacation,0
81,1,"Smith, Dr. Emma John",male,22.4,2,0,THSIK9V,86.65,,S,USA,Businessman,3,0,B,Dr,Adult,Vacation,1
82,3,"Martin, Mrs. James David",female,4.5,1,0,1BAHEY6,18.28,,Q,Sweden,Seamstress,2,0,Unknown,Mrs,Child,Business,1
83,2,"Lee, Dr. John John",male,29.6,0,1,DZK1O3K,52.09,A102,Q,Finland,Merchant,2,0,A,Dr,Adult,Immigration,0
84,2,"Smith, Mr. Anna John",male,16.3,3,2,ONHY9VQ,65.76,,S,Germany,Doctor,6,0,Unknown,Mr,Teen,Vacation,1
85,3,"Smith, Mrs. John Emma",female,12.6,1,0,1S0G7GN,26.29,,S,Lebanon,Engineer,2,0,Unknown,Mrs,Child,Family Visit,0
86,3,"Johnson, Master. Anna David",male,38.5,3,1,D2SFHG3,10.85,,C,Italy,Businessman,5,0,Unknown,Master,Adult,Family Visit,0
87,2,"Patel, Miss. James James",female,22.4,2,1,YS6XTRV,69.01,,S,Lebanon,Teacher,4,0,C,Miss,Adult,Vacation,1
88,3,"Martin, Mrs. Emma Ali",female,33.0,0,0,RX8RGNR,17.25,,S,India,Student,1,1,Unknown,Mrs,Adult,Family Visit,1
89,3,"Patel, Mrs. Mary Emma",female,52.5,0,0,RC8JH98,28.54,,C,Germany,Clerk,1,1,Unknown,Mrs,Adult,Immigration,0
90,3,"Garcia, Master. John John",male,21.6,0,2,GQLR853,38.54,,C,England,Businessman,3,0,Unknown,Master,Adult,Immigration,0
91,3,"Murphy, Mrs. Anna Anna",female,47.6,2,1,JUUU07S,18.23,,S,Finland,Student,4,0,Unknown,Mrs,Adult,Business,0
92,1,"Johnson, Mrs. James Emma",female,12.6,0,2,1T7L02H,74.61,B145,S,USA,Doctor,3,0,B,Mrs,Child,Family Visit,1
93,3,"Martin, Dr. Ali Anna",female,31.7,0,1,L8HJOPE,22.2,,S,Italy,Seamstress,2,0,Unknown,Dr,Adult,Business,1
94,3,"Smith, Mr. David John",male,0.5,0,1,2ZD6YI0,22.9,,S,Sweden,Merchant,2,0,Unknown,Mr,Child,Vacation,0
95,3,"Patel, Miss. John Anna",female,16.4,0,1,NHIPC09,25.02,,S,Italy,Clerk,2,0,Unknown,Miss,Teen,Business,0
96,1,"Lee, Miss. Raj Raj",female,23.0,3,2,81A7OUN,193.45,,S,Germany,Clerk,6,0,B,Miss,Adult,Business,0
97,3,"Lee, Mrs. John Mary",female,34.3,2,0,TLFH89L,13.56,,S,Germany,Businessman,3,0,Unknown,Mrs,Adult,Business,1
98,3,"Smith, Master. Anna John",male,20.8,2,2,6CVVHEM,29.81,,S,Italy,Teacher,5,0,Unknown,Master,Adult,Family Visit,0
99,1,"Martin, Mrs. John James",female,55.1,3,1,DHJLTEU,81.09,G94,S,Germany,Student,5,0,G,Mrs,Adult,Business,1
100,3,"Lee, Mrs. Emma Ali",female,22.4,0,0,FU6MT8A,14.67,,S,Ireland,Merchant,1,1,Unknown,Mrs,Adult,Business,1
101,1,"Murphy, Mr. Ali Ali",male,36.0,2,1,2XP5UVZ,143.78,B109,S,India,Labourer,4,0,B,Mr,Adult,Business,1
102,3,"Khan, Dr. Raj Raj",female,21.7,0,2,DLM0B60,17.24,,Q,USA,Businessman,3,0,Unknown,Dr,Adult,Family Visit,1
103,3,"Singh, Miss. Raj Raj",female,22.2,2,0,IR1YV0L,32.74,,S,Sweden,Doctor,3,0,Unknown,Miss,Adult,Business,0
104,1,"Khan, Mr. David Mary",male,22.3,2,1,SD765X1,52.67,B134,C,England,Student,4,0,B,Mr,Adult,Immigration,1
105,1,"Patel, Mrs. Anna Ali",female,51.3,0,0,FH2CIFR,53.9,,S,France,Merchant,1,1,C,Mrs,Adult,Family Visit,1
106,2,"Lee, Dr. Raj David",male,10.9,1,1,BLSK5CJ,77.66,,S,Italy,Student,3,0,C,Dr,Child,Vacation,1
107,3,"Khan, Miss. David David",female,22.2,1,1,UIY72RP,39.27,,S,Sweden,Engineer,3,0,Unknown,Miss,Adult,Business,0
108,3,"Garcia, Mr. Mary Anna",male,11.1,2,2,B9M753N,37.4,,Q,Ireland,Seamstress,5,0,Unknown,Mr,Child,Business,0
109,3,"Martin, Mrs. John Mary",female,21.0,3,1,GUC02D5,21.55,,S,Ireland,Nurse,5,0,Unknown,Mrs,Adult,Vacation,1
110,2,"Singh, Mrs. Emma Mary",female,56.0,3,1,YHWAGU9,57.66,,C,Lebanon,Merchant,5,0,Unknown,Mrs,Adult,Vacation,0
111,3,"Johnson, Miss. Anna James",female,16.4,1,0,C0OGDUN,25.42,,S,Italy,Labourer,2,0,Unknown,Miss,Teen,Business,1
112,3,"Martin, Mr. John James",male,22.5,0,0,WSC5DDE,24.82,,S,USA,Merchant,1,1,Unknown,Mr,Adult,Family Visit,0
113,3,"Khan, Mr. James Anna",male,30.7,3,2,1B1YQGH,30.0,,S,France,Engineer,6,0,Unknown,Mr,Adult,Family Visit,0
114,3,"Martin, Miss. David Mary",female,28.5,0,1,4R6KAFA,5.6,,S,Italy,Doctor,2,0,Unknown,Miss,Adult,Family Visit,1
115,2,"Patel, Dr. Emma Emma",female,30.3,0,2,O2HKTFG,15.9,C80,S,Lebanon,Teacher,3,0,C,Dr,Adult,Vacation,0
116,1,"Garcia, Dr. Ali Raj",male,29.8,1,2,F4SARMS,103.99,,S,India,Nurse,4,0,G,Dr,Adult,Family Visit,1
117,3,"Johnson, Mr. John Ali",male,32.7,0,0,1KGDT03,23.16,,Q,Germany,Teacher,1,1,Unknown,Mr,Adult,Immigration,0
118,2,"Murphy, Master. Emma David",male,24.1,1,0,4ZHXWGS,72.37,,S,India,Labourer,2,0,A,Master,Adult,Vacation,1
119,2,"Khan, Master. James James",male,39.7,2,0,4HP9QOG,18.18,,S,Germany,Seamstress,3,0,F,Master,Adult,Business,0
120,3,"Singh, Dr. Ali Emma",female,47.9,3,0,1CXKKQJ,12.86,,S,Lebanon,Seamstress,4,0,Unknown,Dr,Adult,Family Visit,0
121,1,"Martin, Dr. James Raj",male,38.6,0,2,1CF6OCK,57.02,,Q,Germany,Engineer,3,0,Unknown,Dr,Adult,Business,0
122,3,"Smith, Master. Ali Mary",male,9.6,2,0,WJQMRSP,32.43,,S,Finland,Teacher,3,0,Unknown,Master,Child,Vacation,1
123,3,"Martin, Mr. James Mary",male,32.8,1,1,LP62KV5,10.12,,Q,USA,Clerk,3,0,Unknown,Mr,Adult,Immigration,0
124,3,"Smith, Dr. Mary Emma",female,25.3,3,0,BOZ6PM0,29.79,,C,Lebanon,Nurse,4,0,Unknown,Dr,Adult,Vacation,1
125,1,"Patel, Master. Anna David",male,29.4,3,1,49IKHLG,95.46,A58,S,Germany,Doctor,5,0,A,Master,Adult,Vacation,0
126,1,"Singh, Dr. Anna Raj",male,35.6,1,2,GUSWYCN,82.14,B2,S,France,Clerk,4,0,B,Dr,Adult,Business,0
127,3,"Khan, Miss. John David",female,23.9,3,0,BO50ZAH,30.9,,S,Finland,Engineer,4,0,Unknown,Miss,Adult,Immigration,0
128,2,"Murphy, Miss. Mary James",female,17.3,1,1,Q0YK7DW,61.22,G34,S,Lebanon,Businessman,3,0,G,Miss,Teen,Family Visit,0
129,1,"Smith, Master. Ali Emma",male,43.5,1,2,5G1O8KX,146.92,,S,England,Teacher,4,0,A,Master,Adult,Vacation,0
130,1,"Johnson, Dr. Emma David",female,19.1,0,0,7LABQA7,121.52,,Q,Ireland,Doctor,1,1,E,Dr,Teen,Business,0
131,2,"Smith, Master. Emma James",male,52.8,3,1,E2UGXHS,67.76,,S,USA,Teacher,5,0,Unknown,Master,Adult,Family Visit,0
132,3,"Garcia, Miss. Mary Emma",female,14.0,2,0,KHRSZ3P,12.23,,S,USA,Clerk,3,0,Unknown,Miss,Teen,Vacation,1
133,3,"Patel, Mrs. Emma John",female,27.7,0,1,X8U8IAG,6.44,,Q,Lebanon,Clerk,2,0,Unknown,Mrs,Adult,Immigration,0
134,3,"Singh, Dr. David John",female,18.0,0,0,2RN90VP,31.37,,S,England,Doctor,1,1,Unknown,Dr,Teen,Immigration,1
135,3,"Patel, Dr. John Mary",female,29.5,2,2,S585LL3,15.43,,S,Finland,Teacher,5,0,Unknown,Dr,Adult,Business,1
136,3,"Patel, Mr. Emma John",male,27.0,3,1,SMPXBBA,17.54,,S,England,Student,5,0,Unknown,Mr,Adult,Vacation,1
137,2,"Garcia, Mrs. James Anna",female,41.2,1,1,U3VA3BF,30.57,C42,Q,India,Student,3,0,C,Mrs,Adult,Immigration,1
138,2,"Smith, Mrs. James Anna",female,5.9,2,2,4NS9I09,19.3,D149,S,Germany,Engineer,5,0,D,Mrs,Child,Business,1
139,1,"Martin, Master. David Ali",male,33.2,0,1,AW2R339,86.32,,S,Germany,Doctor,2,0,Unknown,Master,Adult,Immigration,0
140,1,"Smith, Master. John David",male,39.6,3,0,I961UL3,79.23,A101,S,Sweden,Teacher,4,0,A,Master,Adult,Business,1
141,3,"Brown, Master. Anna Ali",male,28.2,3,1,KDU6YLE,18.32,,C,India,Merchant,5,0,Unknown,Master,Adult,Family Visit,1
142,2,"Johnson, Dr. James Mary",female,19.7,1,0,AWSYXR9,49.14,,S,France,Labourer,2,0,B,Dr,Teen,Vacation,1
143,3,"Singh, Mrs. Raj Mary",female,37.9,2,1,24Y3O21,28.08,,S,France,Nurse,4,0,Unknown,Mrs,Adult,Family Visit,1
144,3,"Johnson, Dr. David Mary",male,26.2,1,1,1EJINSW,25.88,,S,Ireland,Teacher,3,0,Unknown,Dr,Adult,Business,0
145,2,"Singh, Mrs. Anna Raj",female,22.1,0,0,KCB2HFF,44.62,,S,Germany,Labourer,1,1,E,Mrs,Adult,Immigration,1
146,1,"Brown, Mr. Ali Mary",male,13.9,2,2,3BFVWY8,77.27,,S,France,Doctor,5,0,Unknown,Mr,Teen,Vacation,1
147,2,"Johnson, Mrs. Emma Ali",female,35.3,3,1,023NI28,66.78,,C,Sweden,Labourer,5,0,E,Mrs,Adult,Business,1
148,3,"Johnson, Dr. James John",female,36.5,2,1,19I1E0K,18.86,,C,Germany,Student,4,0,Unknown,Dr,Adult,Immigration,1
149,2,"Martin, Dr. Emma David",female,33.8,2,0,XZ1ZXM6,20.51,B134,C,India,Labourer,3,0,B,Dr,Adult,Immigration,0
150,1,"Lee, Master. Anna James",male,19.1,0,1,3SQ6W4C,135.47,,S,Finland,Labourer,2,0,D,Master,Teen,Vacation,0
151,3,"Singh, Mr. Anna James",male,33.4,1,2,CL3EBM8,27.24,,S,Italy,Student,4,0,Unknown,Mr,Adult,Family Visit,0
152,1,"Khan, Dr. Anna Anna",female,16.1,3,1,F97GGOR,73.24,A31,C,USA,Engineer,5,0,A,Dr,Teen,Vacation,1
153,3,"Martin, Mr. John Emma",male,20.4,0,2,UAHDRX1,16.76,,C,Sweden,Doctor,3,0,Unknown,Mr,Adult,Family Visit,0
154,2,"Brown, Dr. Ali Anna",female,52.2,1,2,669JQ64,23.09,D30,S,Germany,Student,4,0,D,Dr,Adult,Immigration,1
155,2,"Johnson, Mrs. Emma Anna",female,46.6,1,0,OVMQYAT,51.41,,Q,Lebanon,Nurse,2,0,B,Mrs,Adult,Immigration,1
156,3,"Singh, Dr. Ali Raj",female,19.9,3,2,DLP13ZG,14.7,,S,Italy,Engineer,6,0,Unknown,Dr,Teen,Business,1
157,3,"Smith, Miss. Ali David",female,49.8,2,0,GFLSF76,28.04,,S,England,Student,3,0,Unknown,Miss,Adult,Vacation,0
158,3,"Singh, Mr. Raj David",male,34.1,3,2,5GEM1KB,12.3,,Q,Ireland,Labourer,6,0,Unknown,Mr,Adult,Business,0
159,3,"Johnson, Mrs. John John",female,45.4,0,0,XP0CEH5,20.82,,S,France,Nurse,1,1,Unknown,Mrs,Adult,Immigration,1
160,2,"Garcia, Dr. Ali Mary",male,29.2,1,1,XQ9DZZS,20.53,D1,C,England,Teacher,3,0,D,Dr,Adult,Vacation,0
161,2,"Brown, Miss. Raj Mary",female,25.6,2,2,EM7Z2UX,74.39,,S,Italy,Clerk,5,0,D,Miss,Adult,Vacation,0
162,3,"Patel, Dr. Ali Mary",female,15.2,3,2,841OOYH,8.02,,S,USA,Seamstress,6,0,Unknown,Dr,Teen,Family Visit,1
163,1,"Patel, Dr. Raj Emma",male,25.2,0,0,Y2IE1QJ,110.94,,S,Ireland,Nurse,1,1,D,Dr,Adult,Immigration,1
164,1,"Khan, Miss. Ali Ali",female,55.4,2,2,K3QDBUE,145.41,A102,S,Ireland,Teacher,5,0,A,Miss,Adult,Vacation,1
165,3,"Garcia, Miss. Ali John",female,17.9,2,1,L0AB077,30.73,,S,Italy,Seamstress,4,0,Unknown,Miss,Teen,Vacation,0
166,1,"Martin, Mr. Ali Raj",male,16.5,2,2,X1DT3W5,199.16,,C,Sweden,Student,5,0,D,Mr,Teen,Vacation,0
167,2,"Singh, Mr. Raj David",male,34.6,2,2,BMOMQTY,55.65,,C,Lebanon,Labourer,5,0,Unknown,Mr,Adult,Business,0
168,3,"Singh, Dr. James John",female,70.0,0,0,LXHN5FG,36.26,,S,Sweden,Merchant,1,1,Unknown,Dr,Senior,Family Visit,0
169,3,"Johnson, Master. Raj James",male,12.7,1,1,CNOEI0R,23.27,,S,Italy,Nurse,3,0,Unknown,Master,Child,Family Visit,0
170,2,"Lee, Dr. Anna Anna",female,45.0,0,2,TCYK4ZO,55.66,G127,S,Lebanon,Nurse,3,0,G,Dr,Adult,Family Visit,1
171,3,"Brown, Mr. James James",male,21.8,3,2,CDQ5QYK,30.22,,C,Finland,Nurse,6,0,Unknown,Mr,Adult,Immigration,1
172,3,"Smith, Miss. Anna David",female,34.2,1,2,4VW1P8Y,16.39,,S,Italy,Labourer,4,0,Unknown,Miss,Adult,Business,1
173,3,"Murphy, Miss. Emma Emma",female,23.3,2,0,XCQ16FQ,27.26,,S,Lebanon,Seamstress,3,0,Unknown,Miss,Adult,Family Visit,1
174,1,"Murphy, Dr. John Raj",male,16.1,2,1,J6VWAKC,94.16,,S,Finland,Student,4,0,Unknown,Dr,Teen,Vacation,1
175,2,"Martin, Dr. James Ali",male,0.5,2,1,PZBZAN9,26.84,B35,S,Lebanon,Student,4,0,B,Dr,Child,Immigration,0
176,2,"Khan, Master. Emma Raj",male,11.8,3,0,BKNLY18,28.61,,C,USA,Engineer,4,0,B,Master,Child,Vacation,1
177,2,"Smith, Dr. Mary Anna",female,44.0,0,1,BIVXHQB,55.31,,S,India,Teacher,2,0,Unknown,Dr,Adult,Family Visit,1
178,3,"Brown, Mrs. Emma Emma",female,27.6,0,0,24BTY19,24.4,,Q,Ireland,Businessman,1,1,Unknown,Mrs,Adult,Vacation,1
179,1,"Brown, Dr. John Emma",female,35.4,1,2,6V8KYXW,149.31,,S,Italy,Seamstress,4,0,F,Dr,Adult,Family Visit,1
180,1,"Martin, Dr. Ali Emma",female,43.4,3,1,C2GW5XK,104.22,,S,France,Teacher,5,0,B,Dr,Adult,Family Visit,0
181,2,"Brown, Dr. Anna James",male,25.1,0,2,XMOPV1B,45.72,D112,C,France,Merchant,3,0,D,Dr,Adult,Immigration,0
182,3,"Martin, Dr. David Mary",male,43.3,1,0,CNUO2F1,5.94,,C,England,Engineer,2,0,Unknown,Dr,Adult,Immigration,0
183,1,"Martin, Mrs. John Anna",female,25.1,2,1,YNMK5TZ,172.52,,S,India,Businessman,4,0,F,Mrs,Adult,Immigration,1
184,2,"Martin, Mr. David Mary",male,35.8,1,0,VG0OWTO,70.38,,S,Italy,Teacher,2,0,Unknown,Mr,Adult,Family Visit,1
